name,height,mass,hair_color,skin_color,eye_color,birth_year,sex,gender,homeworld,species,films,vehicles,starships
Luke Skywalker,172,77,blond,fair,blue,19,male,masculine,Tatooine,Human,,,
C-3PO,167,75,NA,gold,yellow,112,none,masculine,Tatooine,Droid,,,
Darth Vader,202,136,none,white,yellow,41.9,male,masculine,Tatooine,Human,,,
Owen Lars,178,120,"brown, grey",light,blue,52,male,masculine,Tatooine,Human,,,
Beru Whitesun Lars,165,75,brown,light,blue,47,female,feminine,Tatooine,Human,,,
Biggs Darklighter,183,84,black,light,brown,24,male,masculine,Tatooine,Human,,,
Obi-Wan Kenobi,182,77,"auburn, white",fair,blue-gray,57,male,masculine,Stewjon,Human,,,
Anakin Skywalker,188,84,blond,fair,blue,41.9,male,masculine,Tatooine,Human,,,
Chewbacca,228,112,brown,unknown,blue,200,male,masculine,Kashyyyk,Wookiee,,,
Han Solo,180,80,brown,fair,brown,29,male,masculine,Corellia,Human,,,
Greedo,173,74,NA,green,black,44,male,masculine,Rodia,Rodian,,,
Jabba Desilijic Tiure,175,1358,NA,"green-tan, brown",orange,600,hermaphroditic,masculine,Nal Hutta,Hutt,,,
Wedge Antilles,170,77,brown,fair,hazel,21,male,masculine,Corellia,Human,,,
Jek Tono Porkins,180,110,brown,fair,blue,NA,NA,NA,Bestine IV,NA,,,
Palpatine,170,75,grey,pale,yellow,82,male,masculine,Naboo,Human,,,
Boba Fett,183,78.2,black,fair,brown,31.5,male,masculine,Kamino,Human,,,
IG-88,200,140,none,metal,red,15,none,masculine,NA,Droid,,,
Bossk,190,113,none,green,red,53,male,masculine,Trandosha,Trandoshan,,,
Lando Calrissian,177,79,black,dark,brown,31,male,masculine,Socorro,Human,,,
Lobot,175,79,none,light,blue,37,male,masculine,Bespin,Human,,,
Ackbar,180,83,none,brown mottle,orange,41,male,masculine,Mon Cala,Mon Calamari,,,
Nien Nunb,160,68,none,grey,black,NA,male,masculine,Sullust,Sullustan,,,
Qui-Gon Jinn,193,89,brown,fair,blue,92,male,masculine,NA,Human,,,
Nute Gunray,191,90,none,mottled green,red,NA,male,masculine,Cato Neimoidia,Neimodian,,,
Jar Jar Binks,196,66,none,orange,orange,52,male,masculine,Naboo,Gungan,,,
Roos Tarpals,224,82,none,grey,orange,NA,male,masculine,Naboo,Gungan,,,
Darth Maul,175,80,none,red,yellow,54,male,masculine,Dathomir,Zabrak,,,
Ben Quadinaros,163,65,none,"grey, green, yellow",orange,NA,male,masculine,Tund,Toong,,,
Mace Windu,188,84,none,dark,brown,72,male,masculine,Haruun Kal,Human,,,
Ki-Adi-Mundi,198,82,white,pale,yellow,92,male,masculine,Cerea,Cerean,,,
Kit Fisto,196,87,none,green,black,NA,male,masculine,Glee Anselm,Nautolan,,,
Plo Koon,188,80,none,orange,black,22,male,masculine,Dorin,Kel Dor,,,
Gregar Typho,185,85,black,dark,brown,NA,NA,NA,Naboo,NA,,,
Poggle the Lesser,183,80,none,green,yellow,NA,male,masculine,Geonosis,Geonosian,,,
Dooku,193,80,white,fair,brown,102,male,masculine,Serenno,Human,,,
Jango Fett,183,79,black,tan,brown,66,male,masculine,Concord Dawn,Human,,,
Dexter Jettster,198,102,none,brown,yellow,NA,male,masculine,Ojom,Besalisk,,,
Lama Su,229,88,none,grey,black,NA,male,masculine,Kamino,Kaminoan,,,
Grievous,216,159,none,"brown, white","green, yellow",NA,male,masculine,Kalee,Kaleesh,,,
Tarfful,234,136,brown,brown,blue,NA,male,masculine,Kashyyyk,Wookiee,,,
Raymus Antilles,188,79,brown,light,brown,NA,male,masculine,Alderaan,Human,,,
Tion Medon,206,80,none,grey,black,NA,male,masculine,Utapau,Pau'an,,,
